id;message;target
20;"""¡Urgente! Tu hijo tuvo un accidente. Llámanos ahora al 95121454""";spam
21;"""¿Bajarás más tarde?""";legit
22;"""Ahora en Netflix: Elige tu plan desde PEN 28.90.""";legit
23;"""Al 04/05 figuran a tu nombre 2 líneas móviles en Claro. Visita https://checatuslineas.osiptel.gob.pe""";spam
24;"""Al contratar, migrar de plan o portar tu número, el operador debe entregarte un contrato fácil de entender, con las características de tu plan. Exige su entrega""";legit
25;"""Alerta: Transacción sospechosa en tu cuenta. Accede para confirmar: [enlace]""";spam
26;"""Aprende Excel con Inteligencia Artificial x S/19.90⚡️ - ¡Últimas horas!🔥""";spam
27;"""Banco de la Nación - Día de la madre Regalos. Todos pueden recibir un regalo Día de la Madre preparado por Banco de la Nación. https://lizlb.top/bapwbcef/92411726444255773358fe04a0?_t1746877453889""";spam
28;"""Banco de la Nación - Día de la madre Regalos. Todos pueden recibir un regalo... [enlace]""";spam
29;"""Banco de la Nación - Día del Padre. Todos reciben un regalo especial: [enlace]""";spam
30;"""BCP alerta: tarjeta comprometida. Cancela aquí: [enlace]""";spam
31;"""BCP necesita validar tus datos. Último aviso: [enlace]""";spam
32;"""Claro premia tu número con 20GB. Actívalo gratis: [enlace]""";spam
33;"""Dame unos cuantos"" fue hace <#> minutos""";legit
34;"""Descárgate nuestra APP y gana increíbles premios. ¿Tienes alguna pregunta? Escríbenos a contacto@netzun.com""";spam
35;"""Detectamos un nuevo acceso a tu Cuenta de Google en el dispositivo POCO F6. Si fuiste tú, no tienes que hacer nada. De lo contrario, te ayudaremos a proteger tu cuenta.""";legit
36;"""Disfruta de tu verano ganando el 100% de las veces! Gana increíbles premios con tus 5 CHANCES! Participa por 1 iPhone 15, smartwatches, GBs, entre otros!! Descarga BiPay y juega AHORA! https://bitel.pe/4bP3g9a""";spam
37;"""Disfruta de tu verano ganando el 100% de las veces! Gana increíbles premios... Descarga BiPay y juega AHORA! [enlace]""";spam
38;"""Envío fallido por dirección errónea. Corrige aquí: [enlace]""";spam
39;"""Estoy en Gloucesterroad, ¿qué haremos más tarde?""";legit
40;"""Estoy llegando en otras 2 paradas"".";legit
41;"""Ganaste una canasta navideña 2024. Entra y confirma: [enlace]""";spam
42;"""Gobierno lanza bono laboral. Consulta tu DNI aquí: [enlace]""";spam
43;"""GRUPO ATV Y TOYOTA MOTORS"" TE PREMIAMOS CON 50.000,00 + 1 AUTO TOYOTA YARIS 0/KM.COMUNICARSE AL WhatsApp.901960715.DR.ROLANDO RAMIREZ.";spam
44;"""Habla sólo cuando sientas que tus palabras son mejores que el silencio..."" ""Bud mrng:-)""";legit
45;"""Has sido beneficiario del nuevo programa Perú Te Cuida. Consulta: [enlace]""";spam
46;"""Has sido contactado por migraciones. Llama urgente al 943728392""";spam
47;"""Has solicitado un código de validación para ingresar a YAPE. EVITA LOS FRAUDES, NO lo compartas con nadie y úsalo solo en tu APP. Código: 391263""";legit
48;"""Hola, soy del Minsa. Te inscribiste para vacunas. Confirma aquí: [enlace]""";spam
49;"""LA TINKA. Tu código de activación es 85156""";legit
50;"""La vida no es nada cuando lo consigues todo"". Pero ""la vida lo es todo cuando te falta algo"". El verdadero valor de las personas solo se comprenderá en su ausencia... ¡Buen trabajo!";legit
51;"""Menú semanal: Tinga de pollo, calabacitas, frijoles, etc.""";legit
52;"""Movistar te regala 10GB gratis. Actívalos aquí: [enlace]""";spam
53;"""No pierdas tu beca Pronabec. Revisa tu estado aquí: [enlace]""";spam
54;"""No te quedes incomunicado! Llama al *777#, adquiere un nuevo paquete de minutos + SMS ILIMITADOS! Info: claro.com.pe""";spam
55;"""Nuevo crédito sin aval en minutos. Solicítalo: [enlace]""";spam
56;"""Por tu recarga tienes 250MB + Min ILIM + FB Full + 500MB en YouTube y TikTok por 3 días. Además tienes Whatsapp por 30 días. Info: cl4.ro/miclarohome""";spam
57;"""Premios por fidelidad. Gana un PlayStation 5 ahora: [enlace]""";spam
58;"""Respuesta"" es una de las armas más poderosas para ocupar un lugar en el ""CORAZÓN"" de los demás... Así que";legit
59;"""Riesgo de cierre de tu cuenta BBVA. Evítalo accediendo aquí: [enlace]""";spam
60;"""SEMINARIOS Y CONCURSOS DE PROGRAMACIÓN, HACKATHON Y STARTUP - JULIACA. Hola BRAYNER ANIBAL MAMANI CALCINA, tu inscripción al evento ha sido registrada correctamente.""";legit
61;"""SHALOM: Su envío 43986384 con destino LAS MERCEDES fue desechado por no reclamarlo, conforme a los términos y condiciones en su ticket.""";legit
62;"""Sunedu requiere tus documentos. Sube aquí: [enlace]""";spam
63;"""Te estamos llamando de Sunat, comunícate al 915223643 urgente""";spam
64;"""Tu bono de 200 MB ha expirado o consumiste la totalidad de tus MB. Ingresa gratis a Mi Claro APP en cl4.ro/miclarocompras si necesitas más megas""";spam
65;"""Tu cuenta fue usada en otro dispositivo. Revisa: [enlace]""";spam
66;"""Tu familiar fue detenido. Llama urgente al 945612123""";spam
67;"""Tu línea será suspendida por falta de verificación. Entra aquí: [enlace]""";spam
68;"""Tu pago en Apuesta Total Yape por S/10.0 fue exitoso.""";legit
69;"""Tu pago en UPEU JULIACA por S/30.0 fue exitoso.""";legit
70;"""Tu paquete no pudo ser entregado. Detalles: [enlace]""";spam
71;"""Tu recarga CRECIO! Ahora tienes 650MB + Min Ilimitados + FB + Instagram por 5 días. Además 1GB x 3días en FreeFire + MobileLegends. Info: cl4.ro/miclarohome""";spam
72;"""Un nuevo acceso en el dispositivo Linux. Ver actividad: [enlace de Google]""";spam
73;"""Verifica tus datos en Reniec antes de 24 horas. [enlace]""";spam
74;"""Ya te organizaste con tu familia ante emergencias? Elabora tu Plan Familiar de Emergencia con la app Familia Preparada: https://bit.ly/fampreparada""";spam
75;"""📣New MatePad Pro 12.2"""" Online Right Now!""";spam
76;#1 ECOM FEST 2025: Participa del evento de Tienda Virtual más Grande del Perú GRATIS. INFORMACIÓN UNETE AL GRUPO: https://chat.whatsapp.com/FazY25fcmp3GN9D2jCj28a;spam
77;#1 PARTICIPA TALLER ECOMMERCE PERÚ (ENE) aprenderas crear tu Tienda Virtual y generar tus primeros $1000 dolares UNETE AL GRUPO: https://chat.whatsapp.com/JoPd1J882u8LYaLZkdHvua;spam
78;#AlertaClaro: En Claro solo enviamos correos desde cuentas oficiales. Valida el remitente y evita abrir correos sospechosos. Info: https://claro.pe/alertaclaro;spam
79;#AlertaClaro: Para garantizar tu seguridad, evita abrir links o enlaces enviados desde numeros desconocidos. Protege tu informacion en linea! Mas consejos en https://claro.pe/alertaclaro;spam
80;#AlertaClaro: Ten cuidado con SMS de numeros desconocidos. Nosotros siempre nos comunicaremos desde canales oficiales Claro.;spam
81;#CyberWoW ¡HOY TERMINA! ¿Te perderas DSCTOs de hasta 55%? ¿18 cuotas sin intereses y envio gratis? +info AQUI: https://smsung.pe/ultimashorascyber TyC;spam
82;#JuevesEntel te premia! Sorteamos 3 soundbar LG y 10 entradas dobles a Infinity Park. Participa HOY por 1 de ellos! Info: https://www.entel.pe/dylink/jed;spam
83;#JuevesEntel te regala una tele!Participa por un Smart TV LG, aspiradora robot Electrolux o parrilla portatil Mr.Grill.Inscribete en: www.entel.pe/pMj FIN 18/04;spam
84;#JuevesEntel! Participa HOY x 1 laptop Lenovo, 1 impresora HP o 1 de 10 giftcards Tailoy de S/200. Hazlo x App Mi Entel. Restric: www.entel.pe/pMj;spam
85;#QUIERO SALIRME: ayuda de OSIPTEL para dar de baja tu servicio;spam
86;(Bank of Granite emite una recomendación de compra fuerte) SELECCIÓN EXPLOSIVA PARA NUESTROS MIEMBROS *****SUBE MÁS DEL 300% *********** Símbolo Nasdaq CDGT Eso es $5,00 por...;spam
87;(Debo agregar que realmente no me importa y si a ti no te importa, al menos puedo hacer que este tipo se vaya a la mierda, pero bueno, tu dinero si lo quieres);legit
88;(Dicho esto, ¿puedes enviarle un mensaje de texto más?);legit
89;(No lo escuchaste de mi);legit
90;(No prometo cuándo, aún no he cenado);legit
91;(Y mi hombre Carlos definitivamente vendrá a mi casa esta noche, sin excusas);legit
92;* Recibirá dos cajas más y está muy satisfecho con los estantes.;legit
93;**MENSAJE GRATUITO** Gracias por usar el Servicio de Suscripción a Subastas. 18 . 150p/MSGRCVD 2 Omitir una Subasta txt FUERA. 2 Cancelar suscripción txt STOP Atención al Cliente 08718726270;spam
94;*¡Será septiembre para entonces!;legit
95;*¿Vas a llamar este fin de semana o qué?;legit
96;*Estaba pensando en tirar tus zapatillas rojas, verdes y negras para no tener que llevarlas de vuelta en el tren.;legit
97;*Estoy en camino;legit
98;*Estoy en un tren de regreso desde Nortlegitpton, ¡así que me temo que no!;legit
99;*Felicitaciones! Tienes una Tarjeta de Credito Visa BCP esperandote con ANDO. Registrate en: https://web.yoando.com.pe/TarjetaMayo 4;spam
100;*Fue realmente bueno verte el otro día, amiga, ¡te he extrañado!;legit
101;*Fue un buen día y, sorprendentemente, fui sensato, me fui temprano a casa y ahora me siento bien. ¿O simplemente soy aburrido? ¿Cuándo es el tuyo? No me acuerdo.;legit
102;*Pensé que no te vi.;legit
103;*suspiro profundo* ... Te extraño :-( ... Realmente me sorprende que no hayas ido aún al cibercafé para encontrarme... ¿No me extrañas?;legit
104;, , y recogerlos de varios puntos | yendo a Yeovil | y harán el proyecto del motor 4 3 horas | y luego los llevas a casa. || 12 2 5.30 máximo. || Muy fácil;legit
105;... ¿Estás en el pub?;legit
106;....Photoshop hace que mi computadora se apague.;legit
107;:-( ¡Eso no es muy romántico!;legit
108;:( pero no estás aquí....;legit
109;:-( ruido de cachorro triste;legit
110;:-) ¡Sí! Jaja. ¡Por suerte no tuve un papel protagónico como el tuyo!;legit
111;";-( bueno, nos vemos luego";legit
112;";-) ok. Me siento como John Lennon.";legit
113;?Gana 20 Fichas Doradas para la Ruleta Betano en Espanol para hoy!. Desuscribirse https://go-pe.betano.com/4v389t4c;spam
114;?Gana 25 Giros Gratis en Betano hoy! Ingresa y participa ahora. Desuscribirse https://go-pe.betano.com/4v389t4c;spam
115;?Gana Fichas Doradas para hoy en el Calendario Navideno Betano!. Desuscribirse https://go.betano.pe/2p8cz982;spam
116;?Participaste en el Simulacro Nacional del 7 de noviembre? Cuentanos tu experiencia en la siguiente encuesta: https://bit.ly/3WK4Z9R;spam
117;?Quieres ayudarnos a mejorar la preparacion del pais? Desarrolla la siguiente encuesta sobre el simulacro: https://bit.ly/simulacroagosto;spam
118;?Quieres ayudarnos a mejorar la preparacion del pais? Desarrolla la siguiente encuesta sobre el simulacro: https://bit.ly/simulacroagosto;spam
119;?Quieres ayudarnos a mejorar la preparacion del pais? Desarrolla la siguiente encuesta sobre el simulacro: https://bit.ly/simulacronoviembre;spam
120;?Quieres ayudarnos a mejorar la preparacion del pais? Desarrolla la siguiente encuesta sobre el simulacro:https://bit.ly/simulacroagosto;spam
121;?Te llevaste el regalo de Movistar al Hincha Incondicional? Revisa si ganaste aqui: smvst.com/sorteoapp;spam
122;?Ya te organizaste con tu familia ante emergencias? Elabora tu Plan Familiar de Emergencia con la app Familia Preparada: https://bit.ly/fampreparada;spam
123;?📱🛒 APROVECHA: Un Galaxy A15 5G de 256GB a solo S/669 (vs precio regular: S/829). Sujeto a evaluacion crediticia y stock. Renueva hoy al 0800 00200 AmericaMovilPeruSAC RUC20467534026;spam
124;@El debut de Peru en la Copa America se vive en Betano! Participa gratis y gana hasta S/10,000 con nuestro Master. Desuscribirse https://go.betano.pe/2p8cz982;spam
125;@El debut de Peru en la Copa America se vive en Betano! Participa gratis y gana hasta S/10,000 con nuestro Master. Desuscribirse https://go.betano.pe/2p8cz982;spam
126;@Empieza la semana con 35 Giros Gratis en el Casino Betano! Ingresa y juega ya. Desuscribirse https://go.betano.pe/2p8cz982;spam
127;@Gana 50 Giros Gratis en el Calendario Navide}o de Betano! @Solo por hoy!. Desuscribirse https://go.betano.pe/2p8cz982;spam
128;@Ingresa a Betano y reclama 10 Giros Gratis por Fiestas Patrias!. Desuscribirse https://go.betano.pe/2p8cz982;spam
129;@Participa en la Mision Pragmatic y gana Giros Gratis para hoy en el Casino Betano!. Desuscribirse https://go.betano.pe/2p8cz982;spam
130;@Participa hoy en el Torneo Playtech de Betano por S/10,000 en efectivo!. Desuscribirse https://go.betano.pe/2p8cz982;spam
131;@Peru vs Canada hoy en Betano! Gana 1 Apuesta Gratis para el partido. Desuscribirse https://go.betano.pe/2p8cz982;spam
132;@Ultimo partido de la fase de grupos: Argentina vs Peru! Gana tu apuesta gratis ya en Betano. Desuscribirse https://go.betano.pe/2p8cz982;spam
133;[‰Û_] De todos modos, ¡muchas buenas noches para ti!;legit
134;[DiDiFood]Codigo de verificacion: 250570. Tu codigo sera valido por 5 minutos. Protege tu cuenta y no compartas este codigo.;spam
135;[OpenAI status] Investigating: ChatGPT is unavailable for some users. https://stspg.io/trjt6xhdzfgf. Manage subscription https://stspg.io/ntvp7pzjc3s2.;spam
136;[OpenAI status] Resolved: ChatGPT is unavailable for some users. https://stspg.io/trjt6xhdzfgf. Manage subscription https://stspg.io/ntvp7pzjc3s2.;spam
137;[PREVENTA Galaxy S25] ¡Beneficios exclusivos para ti! Cupones, 18 cuotas sin intereses y cargador 45W de regalo. Ver AQUI: www.smsung.pe/s25preventa (Suj TyC);spam
138;"\¡HEY DAS COOL!... ¡CONOZCO BIEN EL PELIGRO DE UNA CRISIS FINANCIERA ESTUDIANTIL! HABLAMOS PARA TI.\""""";legit
139;\CHA BASTANTE DIVERTIDA, ESA CHICA GENIAL;legit
140;"\GRACIAS POR LLAMAR, CHICA. NO PUDE HABLAR, PERO QUIERO CONTARTE DETALLES MÁS TARDE PARA QUE PODAMOS CHARLAR APROPIADAMENTE X\""""";legit
141;"\GRAN SE ENTERÓ HACE UNOS DÍAS.CUSOON HONI\""""";legit
142;"\NO TENGO CRÉDITO SUFICIENTE PARA LLAMAR. ¿DEBO SALIR DE LA UNIVERSIDAD A LAS 6 Y TOMAR UN AUTOBÚS A TU CASA?\""";legit
143;"\Pensando en ti ;) x\""""";legit
144;"\Pete, ¿puedes llamarme, por favor? Apenas tengo crédito.\""";legit
145;"\Petey muchacho, ¿dónde estás? Yo y todos tus amigos estamos en Kingshead. Baja si puedes. Amar a Nic.\""";legit
146;"\SÍNTOMAS\"" cuando estás enamorado: \""1. Te gusta escuchar canciones 2. Te detienes cuando ves el nombre de tu amado 3. No te enojas cuando tu""";legit
147;\YEH DEFINITIVAMENTE ESTOY ARRIBA DE ALGO SAT;legit
148;"\YO 2 CARIÑO SIENTO LO MISMO SOLO HAGAMOSLO + AMBOS LO INTENTAN + ANÍMENSE + NO ENCAJO MUCHOXXL TE QUIERO LOCAXX\""""";legit
149;¡¡¡ Hola Tu pedido GR-250554758 de Delivery Movistar se encuentra en camino. Por favor recuerda tener tu DNI.;legit
150;¡¡¡Cariño!!!! ¡¡¡TE AMO!!!! *te cubre la cara de besos*;legit
151;¡¡¡Nena!!! ¡Te extrañooooooo! ¡Te necesito!!! ¡Te anhelo! :-( ... ¡Caramba! ... Estoy tan triste sin ti, nena... Te amo...;legit
152;¡¡¡No lo intentes, compañero!!!;legit
153;¡¡¡SIN REGALOS!!! ¿Intentas que me tire por un precipicio o algo así?;legit
154;¡¡¡Te amo!!! ¿Sabes? ¿Lo sientes? ¿Te calienta la panza? Ojalá así sea, mi amor... Te encontraré en tus sueños, Ahmad... *beso de adoración*;legit
155;¡¡¡VALLARÁS TU TELÉFONO, MALDITA SEA!!!;legit
156;¡¡GRACIAS 4 PUTTIN DA FONE SOBRE MÍ!!;legit
157;¡¿Quieres hacer algo de arte?! :D;legit
158;¡18 días para el inicio de la Eurocopa 2004! Manténgase informado de las últimas noticias y resultados a diario. Para cancelar su suscripción, envíe GET EURO STOP al 83222.;spam
159;"¡3 TEXTOS DE TAROT GRATIS! ¡Descubre tu vida amorosa ahora! ¡PRUEBA 3 GRATIS! Envía ""CHANCE"" solo al 85555 16. Después de 3 gratis, los mensajes cuestan 1.50 cada uno.";spam
160;¡500 móviles nuevos de 2004, YA! ¡Envía un SMS a NOKIA al 89545 y recoge el tuyo hoy mismo! Desde solo 1. www.4-tc.biz 2optout 08718726270 1,50 GBP/mtmsg18;spam
161;¡500 móviles nuevos de 2004, YA! ¡Envía un SMS a NOKIA al 89545 y recoge el tuyo hoy mismo! Desde solo 1. www.4-tc.biz 2optout 08718726270 1,50 GBP/mtmsg18 SUBASTA DE TRANSMISIÓN;spam
162;¡8007 GRATIS la primera semana! El tono Nokia número 1 para tu móvil cada semana. Solo envía un SMS con la palabra NOKIA al 8007. ¡Comienza a enviar mensajes y avísale a tus amigos! www.getzed.co.uk Apartado postal 36504 W4 5WQ, tarifa normal: 150p/tono, mayores de 16 años.;spam
163;¡Aah! ¡Un abrazo sería genial! ¡Necesitaría mucho té y sopa antes de cualquier torpeza!;legit
164;¡Accede ahora para conseguir entradas gratis para el concierto más esperado del año!;spam
165;¡Activa Disney+ por solo S/1 hoy! Entra a nuestra app;spam
166;¡Actúa rápido! ¡Consigue el celular de tus sueños al precio más bajo solo por hoy!;spam
167;¡Adelante! ¿Ya compraste algo?;legit
168;¡Adivina qué! ¡Alguien que conoces siente un interés secreto por ti! ¿Quieres saber quién es? Llámanos al 09065394514. Desde teléfono fijo: DATEBox1282EssexCM61XN. 150p/min. 18.;spam
169;¡Adivina qué! ¡Alguien que conoces siente un interés secreto por ti! ¿Quieres saber quién es? Llámanos al 09065394973 desde el teléfono fijo DATEBox1282EssexCM61XN 150p/min 18;spam
170;¡Ah, Dios mío! ¿Cómo está tu brazo?;legit
171;¡Ah, me pagarán! El más destacado es para un anuncio que hice para Hasbro... ¡en agosto! Nos hicieron pasar por muchísimos obstáculos para que nos pagaran. Y aún no.;legit
172;¡Ah, sí! ¡Puedo escribirte por SMS! ¡No! Mmm. ¿Recibiste el correo?;legit
173;¡Ah, sí! ¿Qué marca?;legit
174;¡Ah, sí! Y mi dieta se fue al traste.;legit
175;¡Ah, y por cierto, tienes más comida en la nevera! ¿Te apetece salir a cenar esta noche?;legit
176;¡Ahora suenas como el chico de Scouse, Steve! Voy en autobús a casa. ¿Qué tienes en mente para el día de recreación?;legit
177;¡Ahora yapeale a cualquier persona solo contando con su numero de celular! Ya no necesitas tenerlo grabado en tus contactos, ¿que esperas?;spam
178;¡ALERTA DE GRAN HERMANO! La computadora te ha seleccionado para recibir 10.000 en efectivo o un cupón de 150. Llama al 09064018838. NTT Apartado de correos CRO1327. Mayores de 18 años. Teléfono fijo BT. Coste: 150 ppm. Móviles: varía.;spam
179;¡Alerta! Tu SOAT vence pronto Renuevalo comunicandote con tu Corredor de Seguros. La Positiva Seguros y Reaseguros RUC 20100210909. Placa w4-0615;legit
180;¡Alguien que conoces intenta contactarte a través de nuestro servicio de citas! Para saber quién podría ser, llama desde tu móvil o fijo al 09064015307 BOX334SK38ch.;spam
181;"¡Alguien tímido le ha pedido a nuestro servicio de citas que te contacte! LLAMA AL 09058091870 AHORA; todo se revelará. Apartado postal 84, M26 3UZ 150 peniques.";spam
182;¡Amas de casa aburridas! ¡Chateen y tengan citas ahora! ¡0871750.77.11! Tarifa nacional BT: 10 peniques/min solo desde teléfonos fijos.;spam
183;¡Amor mío! ¿Por qué tardaste tanto en irte a casa de Zaher? Recibí tus palabras en ym y me alegró verlas, pero me entristeció que te fueras. Te extraño.;legit
184;"¡Anímate con una foto sexy de Jordan GRATIS! Solo envía ""BABE"" al 88600. ¡Y cada semana recibe una celebridad sexy! PocketBabe.co.uk 4 fotos más. 16 3/semana 087016248";spam
185;¡App Week llegó con Dsctos en TVs + Soundbar🎁, Cristhian!;spam
186;"¡Apretaaaaaaaaa! Este es un abrazo navideño... Si te gusta mi amigo, devuélveme el abrazo. Si te toca 3, eres lindo/a :) 6, te amo/a :* 9, tienes mucha suerte ;) ¿Ninguno? La gente te odia:";legit
187;¡Aprovecha el 20% de descuento y gana S/1,000 con Seguro Vehicular Pacífico! ?;spam
188;¡Asegura tu auto hoy con Seguro Vehicular Pacífico y conduce con mayor seguridad y tranquilidad!;spam
189;¡Así que es para tocar a un hombre todos los días que te enseñan en Canadá! ¿Cómo estás? Solo te saludo.;legit
190;¡Atención! Este es el segundo intento de contactarte. ¡GANASTE 1250! LLAMA AL 09071512433 b4 050703. Términos y condiciones: BCM4235WC1N3XX. Coste de llamada: 150 ppm. Los móviles varían. Máximo: 7.50.;spam
191;¡Atención! Tu cuenta Interbank será suspendida. Ingresa aquí: https://inter-pe.co;spam
192;¡Atención! Tu línea será suspendida. Evítalo aquí.;spam
193;¡Atencion! Tu SOAT vence pronto. Renuevalo comunicandote con tu Corredor de Seguros. La Positiva Seguros y Reaseguros RUC 20100210909. Placa w4-0615;legit
194;¡Avísame sobre tu descanso! Blacko de Londres;legit
195;"¡Ay! ¡Mierda! ¡Pensé que ese era tu viaje! Jajajaja... Ahora tiene mucho más sentido... *sonríe*. Y la referencia al sofá era... El enlace de ""dormir en un sofá"" que me enviaste... ¿No fue así como fuiste de viaje? Ah... ¿Y no te acompañó tu chica a esa celebración con tus hijos?";legit
196;¡Ay! Media hora es mucho más tiempo en Siria que en Canadá, ¿verdad? ¡Vaya, debes de trabajar muchísimo más en un día que nosotros con todo ese tiempo extra! *sonríe*;legit
197;¡Ay, postrado en cama! ¿En qué estás pensando?;legit
198;¡Baja de peso! ¡No más novias! Gana mucho dinero en eBay o algo así. Y dale gracias a Dios.;legit
199;¡Bajé 2 kilos desde mi visita al médico la semana pasada! ¡Guau! ¡Ahora voy a celebrarlo dándome un atracón!;legit
200;¡Barranquillazo en Topitop! ¡Hoy 50% solo por HORAS TOP!;spam
201;¡Barranquillazo en Topitop! ¡Hoy 50% solo por HORAS TOP! ;spam
202;¡Bien hecho! Los quiero a todos.;legit
203;¡Bien hecho! Sus vacaciones de 4* en la Costa del Sol o 5000  están pendientes de recogida. Llame al 09050090044 ahora para reclamar. SAE, TCs, Apartado de correos 334, Stockport, SK38xh. Coste: 1,50 /mes, máximo 10 minutos.;spam
204;¡Bien hecho, INGLATERRA! ¡Consigue el tono de llamada oficial de Poly o la bandera de colores en tu móvil! Envía TONE o FLAG al 84199 AHORA. Cancelar la suscripción con ENG STOP. Box 39822 W111WX 1.50;spam
205;¡Bien! No, no necesito recibos. ¡Bien hecho! (‰Û_) Sí, por favor, dime. ¿Cuál es su número? Podría llamarla.;legit
206;¡Bien! Sí, tenemos que hablar el viernes: ¡necesitamos una tortilla con la proporción correcta de huevo y papa!;legit
207;¡Bien, bien! ¡Se fueron todos los amigos de Billy! ¡Solo he estado corriendo otra vez! ¿Disfrutaste del concierto?;legit
208;¡Bien, dime el precio, siempre y cuando sea legal! ¿Cuándo puedo recogerlos? ¿Tienes x ams xx?;legit
209;¡Bien, te hemos prestado S/2.00! Puedes usarlos hasta en 30 dias. En tu proxima recarga te cobraremos S/2.50. Info: cl4.ro/prestamesaldo;spam
210;¡Bien, te hemos prestado S/2.00! Puedes usarlos hasta en 30 dias. En tu proxima recarga te cobraremos S/2.50. Info: cl4.ro/prestamesaldo;spam
211;¡Bienvenido! Por favor, responde con tu EDAD y GÉNERO para comenzar. Por ejemplo, 24M;spam
212;¡Bienvenido! Te suscribiste con exito a GOLES L1MAX. Costo S/12.90 mensual Inc. IGV Para cancelar envia SALIR al 99900;spam
213;¡Bognor es lo que buscas! Debería estar espléndido en esta época del año.;legit
214;¡Bono escolar disponible! Revísalo en https://bono.pe;spam
215;¡Bono Yanapay pendiente! Verifica en https://yanapay.pe;spam
216;¡BOOM! Raul, tus Topidescuentos llegaron con S/30 de descuento en tu compra;spam
217;¡Buena suerte en tus exámenes! :-);legit
218;¡Buena suerte! El sorteo se realizará el 28 de febrero de 2006. ¡Buena suerte! Para retirar el premio, envíe STOP al 87239 de atención al cliente (08708034412).;spam
219;¡Buenas noches! ¿Cómo estás?;legit
220;¡Buenas noches! Soy Roger. ¿Cómo estás?;legit
221;¡Buenas noches, cariño! ¡Duerme bien! Acabo de ver El exorcismo de Emily Rose y puede que no vuelva a dormir. ¡Abrazos y besos!;legit
222;¡Buenas noticias! Llama GRATIS al 08006344447 para reclamar tu regalo garantizado de 1000 en efectivo o 2000. ¡Habla con un operador en vivo AHORA!;spam
223;¡Buenas tardes en este glorioso aniversario, mi dulce J! Espero que estés feliz y contenta, mi Presa. Pienso en ti y te mando un beso cariñoso desde el otro lado del mar, con imágenes de recuerdos entrañables... Tú, Pluma de Puma.;legit
224;¡Buenas tardes, guapa! ¿Cómo va la búsqueda de trabajo? Me despierto y siempre pienso en ti, mi amor. ¡Te deseo lo mejor y que seas feliz! ¡Te adoro!;legit
225;¡Buenas tardes, mi amor! ¿Hay alguna posibilidad de trabajo? ¿Me extrañas? ¿Qué haces? ¿Estás siendo perezoso y desolado, mmm? ¿O feliz y lleno de mi amor?;legit
226;¡Buenas tardes, mi amor! ¿Qué tal ese día? Espero que hayas conseguido alguna pista para algún trabajo. Pienso en ti, mi amor, y te mando un beso apasionado desde el otro lado del mar.;legit
227;¡Buenas tardes, mi amor! ¿Qué tal tu día? ¿Tuviste suerte? Pienso en ti, cariño, y te envío mi amor a través del mar para hacerte sonreír y feliz.;legit
228;¡Buenas tardes, sol! ¿Cómo amanece ese día? ¿Nos sentimos frescos y felices de estar vivos? ¿Respiramos el aire y sonreímos? Pienso en ti, mi amor... Como siempre.;legit
229;¡Buenas tardes, Starshine! ¿Cómo está mi chico? ¿Ya me tiene antojo? ¿Se muere por follarme? *Bebe un capuchino*. Te extraño, nena. *Beso provocador*.;legit
